trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.002, 'e': 0.9194312560951247}",25,0,-68.78227262544945,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
43,False,"{'a': 0.002, 'e': 0.9175942312201509}",25,13,-36.73138847373849,"{0: 7, 1: 0, 2: 5, 3: 0, 4: 0}",1
44,False,"{'a': 0.002, 'e': 0.9157608767233256}",20,5,-56.793932185721715,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 1}",1
45,False,"{'a': 0.002, 'e': 0.9139311852712282}",30,0,-86.78430596277042,"{0: 19, 1: 5, 2: 4, 3: 2, 4: 0}",0
46,False,"{'a': 0.002, 'e': 0.9121051495450904}",20,0,-132.95026902988337,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
47,False,"{'a': 0.002, 'e': 0.910282762240767}",25,0,-91.02599015574562,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
48,False,"{'a': 0.002, 'e': 0.9084640160687062}",20,0,-92.01554908773751,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",1
49,False,"{'a': 0.002, 'e': 0.9066489037539209}",30,0,-83.6912651006927,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
50,False,"{'a': 0.002, 'e': 0.9048374180359595}",20,0,-88.28816127641377,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
51,False,"{'a': 0.002, 'e': 0.9030295516688768}",20,1,-80.36843705045798,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 1}",1
52,False,"{'a': 0.002, 'e': 0.9012252974212047}",30,0,-116.85354117560777,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
53,False,"{'a': 0.002, 'e': 0.899424648075924}",20,0,-113.16296214578917,"{0: 15, 1: 0, 2: 1, 3: 2, 4: 2}",0
54,False,"{'a': 0.002, 'e': 0.8976275964304349}",25,0,-31.80551592316897,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
55,False,"{'a': 0.002, 'e': 0.8958341352965282}",25,0,-164.44113015474758,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
56,False,"{'a': 0.002, 'e': 0.8940442575003572}",20,0,-106.09181089000602,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
57,False,"{'a': 0.002, 'e': 0.8922579558824083}",20,15,9.745544514590538,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.002, 'e': 0.8904752232974726}",25,0,-75.76563993818068,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
59,False,"{'a': 0.002, 'e': 0.8886960526146174}",20,0,-73.99058418778391,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
60,False,"{'a': 0.002, 'e': 0.8869204367171575}",35,0,-103.11672698862853,"{0: 24, 1: 5, 2: 4, 3: 1, 4: 1}",0
61,False,"{'a': 0.002, 'e': 0.8851483685026271}",35,0,-140.49205767084348,"{0: 20, 1: 6, 2: 6, 3: 2, 4: 1}",0
62,False,"{'a': 0.002, 'e': 0.8833798408827509}",25,0,-96.91337915736392,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
63,False,"{'a': 0.002, 'e': 0.8816148467834161}",30,17,-86.43197564652502,"{0: 6, 1: 3, 2: 2, 3: 1, 4: 1}",1
64,False,"{'a': 0.002, 'e': 0.8798533791446438}",20,15,8.486121599120928,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.002, 'e': 0.8780954309205613}",20,0,-22.031853545613217,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
66,False,"{'a': 0.002, 'e': 0.8763409950793732}",25,0,-35.28141433582075,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
67,False,"{'a': 0.002, 'e': 0.874590064603334}",25,0,-141.58501102401237,"{0: 12, 1: 3, 2: 8, 3: 1, 4: 1}",0
68,False,"{'a': 0.002, 'e': 0.8728426324887193}",20,0,-64.14918481784011,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
69,False,"{'a': 0.002, 'e': 0.8710986917457983}",35,0,-197.9073864259268,"{0: 19, 1: 3, 2: 9, 3: 2, 4: 2}",0
70,False,"{'a': 0.002, 'e': 0.8693582353988059}",20,0,-97.70471476341868,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
71,False,"{'a': 0.002, 'e': 0.867621256485914}",20,0,-160.8381901115329,"{0: 10, 1: 4, 2: 3, 3: 0, 4: 3}",0
72,False,"{'a': 0.002, 'e': 0.865887748059205}",30,0,-198.21020229109092,"{0: 19, 1: 4, 2: 2, 3: 1, 4: 4}",0
73,False,"{'a': 0.002, 'e': 0.8641577031846428}",20,0,-9.220470747367688,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
74,False,"{'a': 0.002, 'e': 0.8624311149420455}",20,0,-73.6909138169497,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
75,False,"{'a': 0.002, 'e': 0.8607079764250578}",25,0,-146.19442630778613,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
76,False,"{'a': 0.002, 'e': 0.8589882807411234}",20,0,-58.671158464863964,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
77,False,"{'a': 0.002, 'e': 0.8572720210114575}",20,0,-115.7171013066124,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
78,False,"{'a': 0.002, 'e': 0.8555591903710185}",30,0,-60.4696496868846,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
79,False,"{'a': 0.002, 'e': 0.8538497819684817}",25,0,-139.19155878500393,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
80,False,"{'a': 0.002, 'e': 0.8521437889662113}",25,0,-95.25422260972246,"{0: 19, 1: 0, 2: 2, 3: 3, 4: 1}",0
81,False,"{'a': 0.002, 'e': 0.850441204540233}",30,10,-56.439383871941004,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",1
82,False,"{'a': 0.002, 'e': 0.8487420218802068}",30,15,-60.24832460051336,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 1}",1
83,False,"{'a': 0.002, 'e': 0.8470462341893996}",20,0,-147.62086770219298,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 3}",0
84,False,"{'a': 0.002, 'e': 0.8453538346846587}",25,0,-137.43325363394914,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
85,False,"{'a': 0.002, 'e': 0.8436648165963837}",20,0,-69.05519118089369,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
86,False,"{'a': 0.002, 'e': 0.8419791731684999}",20,0,-15.035613108271226,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
87,False,"{'a': 0.002, 'e': 0.8402968976584314}",20,0,-147.17275647621585,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
88,False,"{'a': 0.002, 'e': 0.838617983337074}",20,4,-144.00475535823824,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 3}",1
89,False,"{'a': 0.002, 'e': 0.8369424234887681}",20,0,-112.9691615076142,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
90,False,"{'a': 0.002, 'e': 0.835270211411272}",20,6,-45.29292696654307,"{0: 9, 1: 0, 2: 4, 3: 1, 4: 0}",1
91,False,"{'a': 0.002, 'e': 0.8336013404157353}",20,0,-16.593249583766912,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
92,False,"{'a': 0.002, 'e': 0.8319358038266718}",25,0,-209.39421859427063,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 5}",0
93,False,"{'a': 0.002, 'e': 0.8302735949819326}",30,0,-191.00059850128585,"{0: 17, 1: 0, 2: 9, 3: 2, 4: 2}",0
94,False,"{'a': 0.002, 'e': 0.8286147072326806}",20,0,-97.6631434092475,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
95,False,"{'a': 0.002, 'e': 0.8269591339433623}",25,0,-163.15697619261957,"{0: 13, 1: 5, 2: 3, 3: 2, 4: 2}",0
96,False,"{'a': 0.002, 'e': 0.8253068684916823}",20,0,-110.02648342172601,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
97,False,"{'a': 0.002, 'e': 0.8236579042685769}",30,0,-120.52531619616582,"{0: 17, 1: 3, 2: 9, 3: 0, 4: 1}",0
98,False,"{'a': 0.002, 'e': 0.8220122346781865}",30,0,-119.1408177756807,"{0: 19, 1: 4, 2: 4, 3: 2, 4: 1}",0
99,False,"{'a': 0.002, 'e': 0.8203698531378311}",20,0,-99.44436285240631,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 0}",0
100,False,"{'a': 0.002, 'e': 0.8187307530779818}",20,7,-24.545560248187908,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 0}",1
101,False,"{'a': 0.002, 'e': 0.8170949279422366}",35,8,-70.88405267289404,"{0: 19, 1: 5, 2: 1, 3: 1, 4: 1}",1
